STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
40061,40061,Haskell,OK,1042851,1173259,1250598,1076469,1189934,648130,833106,157600,114511,134359,149515,120465,53964,96738
40063,40063,Hughes,OK,2058578,2610966,1979106,1393929,1560335,837842,1254382,310047,254237,212347,193545,157908,69663,137071
40065,40065,Jackson,OK,5815026,7538074,6435813,5090837,6907673,5376835,9067369,875780,733995,689956,706182,698661,445643,1050798
40067,40067,Jefferson,OK,2579631,2772673,2598865,2250197,2198813,1528508,2085950,387095,269625,278096,311766,222318,126587,212024
40069,40069,Johnston,OK,811494,913432,1026469,839655,637778,409201,770815,122852,89207,110306,116652,64622,34128,91740
40071,40071,Kay,OK,6465327,8318416,7052813,5019480,7359648,6510362,7405963,977110,811367,757704,697545,744820,540194,943977
40073,40073,Kingfisher,OK,7489488,10995310,9904089,7820076,8393834,8786761,8412163,1123379,1068710,1059303,1083286,848609,727337,1080938
40075,40075,Kiowa,OK,4879885,7111742,7084807,5000470,4990231,6322517,5917135,732123,691311,757739,692691,504498,523281,682646
40077,40077,Latimer,OK,387104,824284,907093,602507,603426,421279,489841,59163,80557,97532,83814,61146,35119,55113
40079,40079,Le Flore,OK,1774316,1844185,2589142,1840112,2335085,1423429,1756787,271930,181577,279975,257004,236903,119255,244203
40081,40081,Lincoln,OK,1933389,2760682,3149911,2518293,2627492,1848584,2794270,294007,269855,338839,350203,266194,154003,367823
40083,40083,Logan,OK,3123218,4829177,4227759,2338634,3245381,2512796,3452766,472599,470993,454345,325623,328830,209469,398128
40085,40085,Love,OK,1510818,2662734,2357124,1264298,1686758,1026528,938632,227259,259039,252426,175393,170626,85171,107112
40087,40087,McClain,OK,2548302,2960768,2223866,2222061,1621185,1368728,2191877,385430,289087,239738,309150,164554,114546,318113
40089,40089,McCurtain,OK,2423878,2614252,2204884,2463417,1904928,1870655,1568856,367397,255582,237686,342418,193037,155602,210170
40091,40091,McIntosh,OK,1543603,1728490,2259503,1834360,1113478,758284,889672,233557,168823,242739,254857,112890,63338,108668
40093,40093,Major,OK,5250141,6400088,6355765,3647504,4577478,5282681,5640903,787133,622018,679645,505263,462749,437212,649180
40095,40095,Marshall,OK,695624,1851390,715959,1476949,622430,510983,541777,105778,180474,77385,205131,63198,42780,60201
40097,40097,Mayes,OK,1863577,3281571,2498448,2725129,2093837,1343708,1821709,284883,321060,270081,379455,212515,112671,237334
40099,40099,Murray,OK,1058550,732999,819818,665921,469870,344893,499518,160416,71889,88484,92779,47722,28947,55733
40101,40101,Muskogee,OK,2979651,3739240,3234972,2680250,2604078,1890912,1778583,460325,368537,352229,375436,264896,159286,226773
40103,40103,Noble,OK,3841629,5538277,5020344,4187668,4279207,4048431,4978584,576729,538517,537207,580246,432680,335223,667736
